title,division,department,salary
Vice President,Finance,Finance,387500
President,President's Office,President's Office,353636
Dean,Library Services,Library Services,229507
Professor,Dental Hygiene,Allied Health,228194
Dean,Agricultural Science,Agricultural Science,214484
Professor,Counselor,Dean of Students Office,203209
Professor,Political Science,Social Sciences,188593
Vice President,Academic Affairs,Academic Affairs,181624
Vice President,IT Services,IT Services,179932
Professor,Genetics/Biology,Math/Science,177585
Associate Vice President,Academic Affairs,Academic Affairs,172538
Vice President,Student Services,Student Services,170356
Professor,LAN Management,Business and Information Tech,167986
Vice President,Human Resources,Human Resources,166708
Vice President,Facilities & Security,Facilities & Security,160961
Vice President,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,158256
General Manager,The Hotel At Kirkwood Center,The Hotel At Kirkwood Center,157335
Professor,Biology/Anatomy/Physiology,Linn County Regional Center,156722
Professor,Diesel Truck Technology,Agricultural Science,155800
Vice President,Foundation/Development,Foundation/Development,154876
Office Assistant,Skills to Employment,Skills to Employment,147221
Instructor/Coordinator,HSDL Program,Secondary Programs,143689
Executive Dean,K-12 Partnerships,K-12 Partnerships,140056
Professor,Accounting,Business and Information Tech,137183
Executive Director,IT Services,IT Services,137179
Dean,Allied Health,Allied Health,136280
Associate Vice President,Academic Affairs,Academic Affairs,135838
Executive Director,Communications & Marketing,Communications & Marketing,133390
Curriculum/Assessment Specialist,Academic Affairs,Academic Affairs,132853
Associate Professor,Welding,Industrial Technologies,131208
Professor,Math,Math/Science,130761
Professor,Physical Education/Recreation,Math/Science,130548
Associate Vice President,Dean of Students Office,Dean of Students Office,130181
Prof/Science 174,Math/Science,Math/Science,130140
Associate Vice President,Facilities & Security,Facilities & Security,129828
Executive Director,Continuing Ed/Training Svcs,Continuing Ed/Training Svcs,129790
Professor,Communication,Communication/English/Media,128912
Professor,Dental Assisting,Allied Health,128784
Associate Professor,Management,Business and Information Tech,128648
Professor,Animal Health Technology,Agricultural Science,128243
Professor,Physical Education/Recreation,Math/Science,127589
Dean,Nursing Programs,Nursing Programs,126863
Dean,Arts/Humanities,Arts/Humanities,126549
Professor,Biology/Anatomy/Physiology,Math/Science,126476
Senior Director,Inst Effectiveness/Research,Inst Effectiveness/Research,126448
Executive Director,IT Services,IT Services,125079
